alpha,k,silhouette,mean_within,mean_between,within_between_ratio,min_block_size,max_block_size
0.8,20.0,0.33024626547162816,0.6718041169070647,0.2112268761245738,3.180485974288894,1.0,5.0
0.75,20.0,0.32719575139677204,0.674387092624963,0.21690364912847548,3.1091551264105877,1.0,5.0
0.7,20.0,0.32452795014782043,0.6826606131039765,0.2223070772710925,3.0708001809204912,1.0,5.0
0.65,20.0,0.3257349145148676,0.691464650566882,0.22833219854269007,3.028327388691098,1.0,5.0
0.6,20.0,0.31213561026364584,0.7101919519574504,0.23521092860922846,3.019383309086541,1.0,5.0
0.55,20.0,0.31712391357999464,0.7249512598972346,0.24096632376026897,3.008516910514307,1.0,5.0
0.2,20.0,0.4235420433868817,0.8393687138791963,0.27915408260021846,3.006829440074037,1.0,5.0
0.25,20.0,0.40337713352248167,0.8211990928506048,0.2735932607971747,3.001532605217902,1.0,5.0
0.3,20.0,0.39030634802474407,0.8036549785815499,0.26800142945222766,2.998696612268647,1.0,5.0
0.35,20.0,0.37769989314940383,0.7861108643124952,0.2624095981072806,2.995739751832974,1.0,5.0
0.4,20.0,0.3647863426998542,0.7685667500434404,0.2568177667623335,2.9926541287725397,1.0,5.0
0.5,20.0,0.3155487227221116,0.7216840611449397,0.24350961159996592,2.963677927960034,1.0,6.0
0.45,20.0,0.32663312996602584,0.7379409234956723,0.24910485276416963,2.9623707258496856,1.0,6.0
