feature_1,feature_2,dependency
IN_BYTES,TCP_FLAGS,0.5337473337624241
L7_PROTO,FLOW_DURATION_MILLISECONDS,0.5287328180728569
SERVER_TCP_FLAGS,LONGEST_FLOW_PKT,0.5260115174271309
SERVER_TCP_FLAGS,MAX_IP_PKT_LEN,0.5260115174271309
IN_BYTES,TCP_WIN_MAX_OUT,0.5198076736604872
LONGEST_FLOW_PKT,TCP_WIN_MAX_OUT,0.5163861802548417
MAX_IP_PKT_LEN,TCP_WIN_MAX_OUT,0.5163861802548417
L7_PROTO,DURATION_IN,0.5150093227174132
DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,0.5146956602988821
IN_PKTS,SERVER_TCP_FLAGS,0.5119913171166058
TCP_FLAGS,DST_TO_SRC_SECOND_BYTES,0.5115962504023652
OUT_BYTES,TCP_FLAGS,0.5109650316155846
IN_PKTS,SRC_TO_DST_SECOND_BYTES,0.5106761263490529
NUM_PKTS_256_TO_512_BYTES,TCP_WIN_MAX_OUT,0.506772550205361
OUT_PKTS,TCP_WIN_MAX_IN,0.506399601588886
IN_BYTES,MAX_TTL,0.5056027959954557
IN_BYTES,MIN_TTL,0.5053094103920405
CLIENT_TCP_FLAGS,SRC_TO_DST_AVG_THROUGHPUT,0.5024564871106515
SHORTEST_FLOW_PKT,SRC_TO_DST_AVG_THROUGHPUT,0.5013197262595112
CLIENT_TCP_FLAGS,DST_TO_SRC_SECOND_BYTES,0.49955528974709273
OUT_BYTES,CLIENT_TCP_FLAGS,0.498649374528055
NUM_PKTS_512_TO_1024_BYTES,TCP_WIN_MAX_OUT,0.49556104182626876
NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,0.49487303929615706
SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,0.4914821693296882
TCP_FLAGS,SRC_TO_DST_AVG_THROUGHPUT,0.4886386763875733
TCP_FLAGS,DST_TO_SRC_AVG_THROUGHPUT,0.4871482904019993
SERVER_TCP_FLAGS,NUM_PKTS_256_TO_512_BYTES,0.48697235416898105
OUT_PKTS,NUM_PKTS_256_TO_512_BYTES,0.48004845137536983
NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_OUT,0.477009845712734
IN_PKTS,CLIENT_TCP_FLAGS,0.47395823458708036
IN_BYTES,OUT_BYTES,0.4717350069908653
MIN_TTL,SRC_TO_DST_SECOND_BYTES,0.4705797625947242
MAX_TTL,SRC_TO_DST_SECOND_BYTES,0.4705502889420074
IN_BYTES,DST_TO_SRC_SECOND_BYTES,0.4677947042974459
SRC_TO_DST_AVG_THROUGHPUT,NUM_PKTS_128_TO_256_BYTES,0.46556769619813665
OUT_BYTES,NUM_PKTS_1024_TO_1514_BYTES,0.46532663425022297
IN_BYTES,SERVER_TCP_FLAGS,0.4629482204015689
IN_BYTES,TCP_WIN_MAX_IN,0.4603468810016983
SERVER_TCP_FLAGS,NUM_PKTS_512_TO_1024_BYTES,0.4595204351555597
IN_BYTES,OUT_PKTS,0.45897911924345697
OUT_BYTES,NUM_PKTS_256_TO_512_BYTES,0.4579811113584348
DST_TO_SRC_SECOND_BYTES,NUM_PKTS_256_TO_512_BYTES,0.45410163718732277
SRC_TO_DST_SECOND_BYTES,NUM_PKTS_128_TO_256_BYTES,0.45248030536544387
DST_TO_SRC_SECOND_BYTES,NUM_PKTS_1024_TO_1514_BYTES,0.4513134651622712
IN_PKTS,OUT_PKTS,0.4500574683430683
OUT_PKTS,NUM_PKTS_1024_TO_1514_BYTES,0.4487508027352589
SERVER_TCP_FLAGS,NUM_PKTS_1024_TO_1514_BYTES,0.4453483070389762
NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_1024_TO_1514_BYTES,0.44533781436895237
SRC_TO_DST_AVG_THROUGHPUT,TCP_WIN_MAX_IN,0.4400401029298097
