threshold,number_of_blocks,singleton_blocks,largest_block,mean_block_size,mean_first_order_within,mean_first_order_between,within_between_ratio,max_cross_block_first_order,within_pairs_ge_0.70,cross_pairs_ge_0.70
0.85,21,20,19,1.8571428571428572,0.48395921271278053,0.15402825256576197,3.142015861707938,0.9999999999882264,16,13
0.88,21,20,19,1.8571428571428572,0.48395921271278053,0.15402825256576197,3.142015861707938,0.9999999999882264,16,13
0.9,28,26,10,1.3928571428571428,0.5426602141621609,0.20852155708021075,2.6024178111878333,0.9999999999882264,8,21
0.91,30,29,10,1.3,0.5264689267209106,0.21100866039357585,2.4950109902547815,1.0,7,22
0.92,33,32,7,1.1818181818181819,0.5145694396002396,0.2218710709788399,2.3192272761387387,1.0,3,26
0.93,35,34,5,1.1142857142857143,0.49769845769509524,0.22650635398005314,2.19728254395426,1.0,1,28
